taxa	code	order	family	clade_mag7	genome_accession
Acanthisitta_chloris	ACACHL	Passeriformes	Acanthisittidae	Telluraves	GCA_000695815.1
Acrocephalus_arundinaceus	ACRARU	Passeriformes	Acrocephalidae	Telluraves	VZST00000000
Aegithalos_caudatus	AEGCAU	Passeriformes	Aegithalidae	Telluraves	WEIU00000000
Aegotheles_bennettii	AEGBEN	Strisores	Aegothelidae	Strisores	VZRW00000000
Agapornis_roseicollis	AGAROS	Psittaciformes	Psittaculidae	Telluraves	GCA_002631895.1
Agelaius_phoeniceus	AGEPHO	Passeriformes	Icteridae	Telluraves	VZSP00000000
Alaudala_cheleensis	ALACHE	Passeriformes	Alaudidae	Telluraves	VWYE00000000
Alca_torda	ALCTOR	Charadriiformes	Alcidae	Cursorimorphae	VZSD00000000
Aleadryas_rufinucha	ALERUF	Passeriformes	Oreoicidae	Telluraves	VZTH00000000
Alectura_lathami	ALELAT	Galliformes	Megapodiidae	Galloanseres	VXAV00000000
Alopecoenas_beccarii	ALOBEC	Columbiformes	Columbidae	Columbimorphae	VWYH00000000
Amazona_guildingii	AMAGUI	Psittaciformes	Psittacidae	Telluraves	VXAR00000000
Anas_platyrhynchos	ANAPLA	Anseriformes	Anatidae	Galloanseres	GCA_000355885.1
Anas_zonorhyncha	ANAZON	Anseriformes	Anatidae	Galloanseres	GCA_002224875.1
Anhinga_anhinga	ANHANH	Pelecaniformes	Anhingidae	Aequornithes	WBMU00000000
Anhinga_rufa	ANHRUF	Pelecaniformes	Anhingidae	Aequornithes	VZTV00000000
Anser_cygnoid	ANSCYG	Anseriformes	Anatidae	Galloanseres	GCA_000971095.1
Anseranas_semipalmata	ANSSEM	Anseriformes	Anseranatidae	Galloanseres	VXAA00000000
Anthoscopus_minutus	ANTMIN	Passeriformes	Remizidae	Telluraves	VWYI00000000
Antrostomus_carolinensis	ANTCAR	Strisores	Caprimulgidae	Strisores	GCA_000700745.1
Apaloderma_vittatum	APAVIT	Trogoniformes	Trogonidae	Telluraves	GCA_000703405.1
Aphelocoma_coerulescens	APHCOE	Passeriformes	Corvidae	Telluraves	VZSI00000000
Aptenodytes_forsteri	APTFOR	Sphenisciformes	Spheniscidae	Aequornithes	GCA_000699145.1
Apteryx_australis	APTAUS	Apterygiformes	Apterygidae	Palaeognathae	GCA_001039765.2
Apteryx_haastii	APTHAA	Apterygiformes	Apterygidae	Palaeognathae	PTFD00000000.1
Apteryx_owenii	APTOWE	Apterygiformes	Apterygidae	Palaeognathae	PTFC00000000.1
Apteryx_rowi	APTROW	Apterygiformes	Apterygidae	Palaeognathae	PTFB00000000.1
Aquila_chrysaetos	AQUCHR	Accipitriformes	Accipitridae	Telluraves	GCA_000766835.1
Aramus_guarauna	ARAGUA	Gruiformes	Aramidae	Cursorimorphae	VXBL00000000
Ardeotis_kori	ARDKOR	Otidiformes	Otididae	Otidimorphae	VWPR00000000
Arenaria_interpres	AREINT	Charadriiformes	Scolopacidae	Cursorimorphae	VXAK00000000
Asarcornis_scutulata	ASASCU	Anseriformes	Anatidae	Galloanseres	VZSO00000000
Atlantisia_rogersi	ATLROG	Gruiformes	Rallidae	Cursorimorphae	VZUJ00000000
Atrichornis_clamosus	ATRCLA	Passeriformes	Atrichornithidae	Telluraves	WBMZ00000000
Balaeniceps_rex	BALREX	Pelecaniformes	Balaenicipitidae	Aequornithes	VYZW00000000
Balearica_regulorum	BALREG	Gruiformes	Gruidae	Cursorimorphae	GCA_000709895.1
Baryphthengus_martii	BARMAR	Coraciiformes	Momotidae	Telluraves	VWZK00000000
Bombycilla_garrulus	BOMGAR	Passeriformes	Bombycillidae	Telluraves	VXBU00000000
Brachypodius_atriceps	BRAATR	Passeriformes	Pycnonotidae	Telluraves	VZSR00000000
Brachypteracias_leptosomus	BRALEP	Coraciiformes	Brachypteraciidae	Telluraves	VYZX00000000
Bucco_capensis	BUCCAP	Piciformes	Bucconidae	Telluraves	VWZO00000000
Buceros_rhinoceros	BUCRHI	Bucerotiformes	Bucerotidae	Telluraves	GCA_000710305.1
Bucorvus_abyssinicus	BUCABY	Bucerotiformes	Bucerotidae	Telluraves	VYZL00000000
Buphagus_erythrorhynchus	BUPERY	Passeriformes	Buphagidae	Telluraves	VZTT00000000
Burhinus_bistriatus	BURBIS	Charadriiformes	Burhinidae	Cursorimorphae	VYXH00000000
Cairina_moschata	CAIMOS	Anseriformes	Anatidae	Galloanseres	QZEJ00000000
Calcarius_ornatus	CALORN	Passeriformes	Plectrophenacidae	Telluraves	WBNL00000000
Calidris_pugnax	CALPUG	Charadriiformes	Scolopacidae	Cursorimorphae	GCA_001431845.1
Callaeas_wilsoni	CALWIL	Passeriformes	Callaeidae	Telluraves	VWPU00000000
Callipepla_squamata	CALSQU	Galliformes	Odontophoridae	Galloanseres	GCA_002218305.1
Caloenas_nicobarica	CALNIC	Columbiformes	Columbidae	Columbimorphae	VZSB00000000
Calonectris_borealis	CALBOR	Procellariiformes	Procellariidae	Aequornithes	VZUG00000000
Calypte_anna	CALANN	Strisores	Trochilidae	Strisores	GCA_000699085.1
Calyptomena_viridis	CALVIR	Passeriformes	Calyptomenidae	Telluraves	WEIV00000000
Campylorhamphus_procurvoides	CAMPRO	Passeriformes	Dendrocolaptidae	Telluraves	WBMV00000000
Cardinalis_cardinalis	CARCAR	Passeriformes	Cardinalidae	Telluraves	VYXE00000000
Cariama_cristata	CARCRI	Cariamiformes	Cariamidae	Telluraves	GCA_000690535.1
Casuarius_casuarius	CASCAS	Casuariiformes	Casuariidae	Palaeognathae	VWPT00000000
Cathartes_aura	CATAUR	Accipitriformes	Cathartidae	Telluraves	GCA_000699945.1
Catharus_fuscescens	CATFUS	Passeriformes	Turdidae	Telluraves	VWYD00000000
Centropus_bengalensis	CENBEN	Cuculiformes	Cuculidae	Otidimorphae	WBNK00000000
Centropus_unirufus	CENUNI	Cuculiformes	Cuculidae	Otidimorphae	VYZI00000000
Cephalopterus_ornatus	CEPORN	Passeriformes	Cotingidae	Telluraves	VZRE00000000
Cepphus_grylle	CEPGRY	Charadriiformes	Alcidae	Cursorimorphae	VZUD00000000
Cercotrichas_coryphaeus	CERCOR	Passeriformes	Muscicapidae	Telluraves	WBND00000000
Certhia_brachydactyla	CERBRA	Passeriformes	Certhiidae	Telluraves	VXBV00000000
Certhia_familiaris	CERFAM	Passeriformes	Certhiidae	Telluraves	WBNC00000000
Cettia_cetti	CETCET	Passeriformes	Scotocercidae	Telluraves	VZUI00000000
