# Assembly Statistics Report
# Assembly name:  UCI_ANSTEP_V1.0
# Organism name:  Anopheles stephensi (Asian malaria mosquito)
# Infraspecific name:  strain=Indian
# Sex:  pooled male and female
# Taxid:          30069
# BioSample:      SAMN14792744
# BioProject:     PRJNA629843
# Submitter:      University of California Irvine
# Date:           2020-06-09
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JABEOT01
# Assembly method: canu v. 1.7; FALCON v. JAN-2018
# Expected final version: yes
# Genome coverage: 180.0x
# Sequencing technology: PacBio RSII; PacBio Sequel
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_013141755.1
# RefSeq assembly accession: GCF_013141755.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_013141845.1	GCF_013141845.1	Primary Assembly
## GCA_013141855.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	243460342
all	all	all	all	spanned-gaps	6
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	494
all	all	all	all	scaffold-N50	88747589
all	all	all	all	scaffold-L50	2
all	all	all	all	scaffold-N75	22713616
all	all	all	all	scaffold-N90	126654
all	all	all	all	contig-count	500
all	all	all	all	contig-N50	38117870
all	all	all	all	contig-L50	3
all	all	all	all	total-gap-length	8500
all	all	all	all	molecule-count	4
all	all	all	all	top-level-count	494
all	all	all	all	component-count	494
all	all	all	all	gc-perc	45
Primary Assembly	all	all	all	total-length	243460342
Primary Assembly	all	all	all	ungapped-length	243451842
Primary Assembly	all	all	all	scaffold-count	494
Primary Assembly	all	all	all	scaffold-N50	88747589
Primary Assembly	all	all	all	spanned-gaps	6
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	45
Primary Assembly	all	all	assembled-molecule	total-length	205167228
Primary Assembly	all	all	assembled-molecule	ungapped-length	205158728
Primary Assembly	all	all	assembled-molecule	scaffold-count	3
Primary Assembly	all	all	assembled-molecule	scaffold-N50	88747589
Primary Assembly	all	all	assembled-molecule	spanned-gaps	6
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	45
Primary Assembly	all	all	unlocalized-scaffold	total-length	2431687
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	2431687
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	33
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	79930
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	40.5
Primary Assembly	na	na	unplaced-scaffold	total-length	35861427
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	35861427
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	458
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	96552
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	45
Primary Assembly	X	Chromosome	all	total-length	22713616
Primary Assembly	X	Chromosome	all	ungapped-length	22712616
Primary Assembly	X	Chromosome	all	scaffold-count	1
Primary Assembly	X	Chromosome	all	scaffold-N50	22713616
Primary Assembly	X	Chromosome	all	spanned-gaps	1
Primary Assembly	X	Chromosome	all	unspanned-gaps	0
Primary Assembly	X	Chromosome	all	gc-perc	45
Primary Assembly	X	Chromosome	assembled-molecule	total-length	22713616
Primary Assembly	X	Chromosome	assembled-molecule	ungapped-length	22712616
Primary Assembly	X	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	X	Chromosome	assembled-molecule	scaffold-N50	22713616
Primary Assembly	X	Chromosome	assembled-molecule	spanned-gaps	1
Primary Assembly	X	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	X	Chromosome	assembled-molecule	gc-perc	45
Primary Assembly	X	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	X	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	X	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	X	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	X	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	X	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	93706023
Primary Assembly	2	Chromosome	all	ungapped-length	93702023
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	93706023
Primary Assembly	2	Chromosome	all	spanned-gaps	3
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	gc-perc	45
Primary Assembly	2	Chromosome	assembled-molecule	total-length	93706023
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	93702023
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	93706023
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	3
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	gc-perc	45
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	88747589
Primary Assembly	3	Chromosome	all	ungapped-length	88744089
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	88747589
Primary Assembly	3	Chromosome	all	spanned-gaps	2
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	gc-perc	45
Primary Assembly	3	Chromosome	assembled-molecule	total-length	88747589
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	88744089
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	88747589
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	2
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	gc-perc	45
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
